Open,Close.Last
11517.2,11507.07
11640.37,11492.3
11777.5,11787.27
11896.31,11855.83
11905.12,12070.59
11808.2,11960.15
11759.09,11891.79
11714.6,11718.12
12069.1,11789.58
12069.12,11910.52
11891.25,12113.79
11904.41,11887.45
11946.86,12006.95
12065.15,12200.82
11573.14,11816.32
11398.58,11584.55
11512.34,11393.81
11470.47,11621.71
11458.4,11512.41
11146.53,11313.36
11302.93,11334.27
11171.94,11364.41
10924.66,11140.43
10890.4,10852.27
11170.95,10957.01
11070,11095.11
10906.37,11079.16
10969.26,11001.1
10794.99,10931.67
10607.72,10742.63
10662.1,10635.65
10363.96,10569.29
10390.31,10305.24
10467.82,10458.76
10562.06,10386.98
10368.37,10466.48
10321.46,10478.09
10339.2,10213.29
10462.19,10353.23
10437.75,10497.86
10586.46,10476.12
10592,10709.37
10490.89,10547.11
10707.44,10546.03
10767.63,10705.41
11012.62,10810.53
11248.09,11170.89
11542.84,11256.81
11015.48,11143.74
11038.17,11004.62
11011.33,11082
10963.95,10958.55
11228.42,11014.89
11380.99,11239.94
11308.38,11461.5
11475.17,11482.45
10995.2,11468
11060.02,10983.78
11147.57,11049.5
11231,11226.36
11174.61,11285.32
11058.56,11174.41
11091.01,11024.51
11257.01,11146.06
11008.67,11144.96
11260.1,11183.66
11474.82,11358.41
11233.9,11196.22
11124.75,11323.33
10869.17,11114.15
10531.64,10353.17
10611.53,10616.2
10516.94,10564.52
10548.14,10475.25
10399.45,10342.94
10885.01,10524.8
11154.74,10890.85
11028.43,10988.15
10766.2,11102.45
10971.95,10792.67
10969.02,10970.99
10996.97,11199.12
10867.07,10952.61
10576.04,10859.72
10657.41,10614.84
10689.31,10680.51
10963.99,10772.4
10575.65,10675.8
10742.81,10321.39
10131.82,10649.15
10437,10417.1
10484.37,10426.19
10659.95,10542.1
10877.28,10652.4
11129.04,11073.31
11022.67,11148.64
11054.72,11176.41
10659.01,10815.43
10697.71,10575.62
10894.44,10737.51
10817.52,11051.64
10955.29,10829.5
10833.38,10802.92
10952.69,10867.93
11167.38,11066.81
11466.21,11220.19
11440.14,11425.05
11338.57,11535.02
11401.21,11448.4
11633.24,11552.36
11680.41,11719.68
11908.81,11633.57
12174.94,12266.41
11958.61,12112.31
11679.86,11862.13
11559.38,11791.9
11643.03,11544.91
11899.14,11630.86
11707.44,11785.13
11972.56,11816.2
12093.06,11883.14
12021.05,12017.67
12630.58,12141.71
12506.37,12639.27
12375.15,12431.53
12380.37,12381.3
12523.16,12381.57
12832.27,12705.22
12937.79,12965.34
12968.63,12938.12
13082.64,13102.55
12996.63,13128.05
12866.31,13047.19
12987.95,12779.91
12793.44,12854.8
12557.49,12493.93
12703.72,12644.46
12538.8,12657.55
12675.04,12720.58
12433.87,12668.16
12479.78,12348.76
12317.96,12368.98
12239.69,12390.69
12036.48,12162.59
11756.19,12032.42
11701.53,11562.57
11837.96,11782.67
12025.37,11834.11
11914.15,12059.61
11726.09,11897.65
11515,11713.15
11561.64,11360.05
11379.36,11452.42
11151.21,11251.19
11056.55,11247.58
11420.89,11264.73
11524.49,11372.6
11503.61,11635.31
11422.6,11621.35
11337.9,11361.85
10964.18,11322.24
11006.83,11127.85
11048.25,11028.74
11160.22,11177.89
11542.24,11181.54
11661.02,11524.55
